sensor1, 1577849749, 29.23259
sensor2, 1577849759, 27.23259
sensor3, 1577849769, 25.23259
sensor4, 1577849779, 23.23259
sensor1, 1577849789, 30
sensor1, 1577849739, 10
sensor1, 1577849729, 20
sensor4, 1577849719, 99.23
sensor1, 1577849789, 28
sensor1, 1577849790, 29
sensor2, 1577849792, 34
sensor1, 1577849795, 36
sensor2, 1577849797, 24
sensor1, 1577849799, 30
sensor2, 1577849800, 24
sensor2, 1577849810, 18
sensor1, 1577849701, 26
sensor1, 1577849702, 25
sensor1, 1577849703, 24
sensor1, 1577849704, 23
sensor1, 1577849705, 22
sensor1, 1577849706, 21
sensor1, 1577849707, 20
sensor1, 1577849708, 19
sensor1, 1577849709, 18
sensor1, 1577849710, 17
sensor1, 1577849711, 16
sensor1, 1577849721, 1
sensor1, 1577849722, 2
sensor1, 1577849723, 3
sensor1, 1577849724, 4
sensor1, 1577849725, 5
sensor1, 1577849726, 6
sensor1, 1577849727, 7
sensor1, 1577849728, 8
sensor1, 1577849729, 9
sensor1, 1577849730, 10
sensor1, 1577849731, 11
sensor1, 1577849732, 12
sensor1, 1577849733, 13
sensor1, 1577849734, 14
sensor1, 1577849735, 15
sensor1, 1577849736, 16
